,adjective pair,polarity,extreme,SI,NegS,dist,pronoun,bounded
0,attractive/stunning,1,1,0.08,0.6,6.03,he,0
1,drunk/plastered,1,1,0.11,0.84,5.32,he,0
2,thin/skinny,0,1,0.11,0.9,3.42,she,0
3,transparent/crystal clear,1,1,0.11,0.73,4.63,it,0
4,ajar/open,1,0,0.11,0.78,3.29,it,0
5,big/enormous,1,1,0.14,0.75,6.0,she,0
6,dirty/filthy,1,1,0.14,0.59,5.39,it,0
7,fat/obese,1,1,0.16,0.72,5.5,he,0
8,tasty/delicious,1,1,0.16,0.88,4.9,that,0
9,damaged/broken,0,0,0.16,0.82,3.98,it,1
10,special/unique,1,1,0.17,0.77,4.58,it,1
11,snug/tight,0,0,0.18,0.85,3.39,it,0
12,happy/delighted,1,1,0.19,0.85,5.37,he,0
13,intelligent/brilliant,1,1,0.19,0.6,4.9,he,0
14,pretty/gorgeous,1,1,0.19,0.48,5.87,she,0
15,ugly/hideous,0,1,0.21,0.84,6.05,he,0
16,unkind/nasty,0,1,0.21,0.57,5.6,he,0
17,dry/parched,0,1,0.22,0.79,5.29,it,0
18,large/gigantic,1,1,0.22,0.74,6.14,it,0
19,content/happy,1,0,0.22,0.78,4.09,she,0
20,small/tiny,0,1,0.24,0.84,4.53,it,0
21,wet/soaked,1,1,0.24,0.44,5.5,it,0
22,calm/unflappable,1,1,0.25,0.45,4.85,she,1
23,sickish/sick,1,0,0.25,0.68,4.11,he,0
24,clean/spotless,0,1,0.27,0.75,5.89,it,0
25,funny/hilarious,1,1,0.27,0.7,5.58,that,0
26,light/white,1,0,0.27,0.33,4.21,that,1
27,rainy/pouring,1,1,0.29,0.6,5.93,it,0
28,unhappy/miserable,0,1,0.29,0.69,6.23,she,0
29,tired/exhausted,0,1,0.3,0.65,5.16,he,0
30,damp/wet,1,0,0.3,0.65,4.66,it,0
31,poor/destitute,0,1,0.31,0.73,5.47,she,0
32,old/ancient,1,1,0.32,0.58,5.74,that,0
33,scared/petrified,0,1,0.32,0.71,5.97,she,0
34,silly/idiotic,0,1,0.32,0.65,5.49,it,0
35,chubby/fat,1,0,0.32,0.65,4.74,she,0
36,loud/deafening,1,1,0.34,0.48,6.2,it,0
37,hot/scalding,1,1,0.35,0.58,5.79,it,0
38,memorable/unforgettable,1,1,0.37,0.58,5.28,it,1
39,dark/black,0,0,0.37,0.3,4.26,that,1
40,hungry/starving,0,1,0.38,0.46,5.92,he,0
41,tipsy/drunk,1,0,0.38,0.59,5.39,she,0
42,silly/ridiculous,0,1,0.39,0.71,5.57,that,0
43,faulty/non-functional,0,0,0.39,0.63,4.08,it,1
44,cool/cold,0,0,0.43,0.54,4.92,it,0
45,adequate/good,1,0,0.44,0.78,4.23,it,0
46,sick/terminally ill,1,1,0.45,0.29,6.75,she,0
47,wary/scared,0,0,0.45,0.5,5.05,he,0
48,bent/twisted,1,1,0.46,0.6,4.0,it,0
49,palatable/delicious,1,1,0.47,0.57,5.88,it,0
50,cold/freezing,0,1,0.49,0.58,5.98,it,0
51,annoyed/angry,0,0,0.51,0.43,5.56,she,0
52,hard/unsolvable,0,1,0.52,0.41,6.16,it,1
53,cleanish/clean,0,0,0.55,0.78,4.5,it,0
54,good/perfect,1,1,0.58,0.45,6.51,it,1
55,possible/certain,1,0,0.58,0.3,6.13,it,1
56,unsettling/horrific,0,1,0.62,0.5,6.1,it,0
57,quiet/inaudible,0,1,0.63,0.44,5.18,it,1
58,good/excellent,1,1,0.65,0.41,6.05,it,0
59,mediocre/bad,0,0,0.7,0.49,4.57,it,0
60,warm/hot,1,0,0.7,0.41,5.45,it,0
61,allowed/obligatory,1,0,0.73,0.39,5.37,it,1
62,rare/extinct,0,0,0.74,0.39,6.26,it,1
63,difficult/impossible,0,1,0.76,0.35,6.47,it,1
64,cheap/free,0,0,0.76,0.41,5.54,it,1
65,scarce/unavailable,0,0,0.76,0.58,4.92,it,1
66,satisfactory/impeccable,1,1,0.79,0.5,6.21,it,1
67,likely/certain,1,0,0.79,0.53,5.96,it,1
68,low/depleted,0,0,0.81,0.62,4.97,it,1
69,sleepy/asleep,0,0,0.81,0.44,5.26,he,1
